locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILNFNBCO_00001	CDS	249	dinI_1			DNA damage-inducible protein I
ILNFNBCO_00002	CDS	1098				hypothetical protein
ILNFNBCO_00003	CDS	1038	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
ILNFNBCO_00004	CDS	243	pspG			Phage shock protein G
ILNFNBCO_00005	CDS	984	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
ILNFNBCO_00006	CDS	1416	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
ILNFNBCO_00007	CDS	1080	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
ILNFNBCO_00008	CDS	1194	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
ILNFNBCO_00009	CDS	360				hypothetical protein
ILNFNBCO_00010	CDS	714	aphA	3.1.3.2	COG3700	Class B acid phosphatase
ILNFNBCO_00011	CDS	417				hypothetical protein
ILNFNBCO_00012	CDS	357	yjbR		COG2315	putative protein YjbR
ILNFNBCO_00013	CDS	2823	uvrA		COG0178	UvrABC system protein A
ILNFNBCO_00014	CDS	537	ssb_1		COG0629	Single-stranded DNA-binding protein
ILNFNBCO_00015	CDS	282				hypothetical protein
ILNFNBCO_00016	CDS	1587	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
ILNFNBCO_00017	CDS	324	soxS			Regulatory protein SoxS
ILNFNBCO_00018	CDS	465	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
ILNFNBCO_00019	misc_RNA	141				sraL
ILNFNBCO_00020	CDS	1350	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
ILNFNBCO_00021	CDS	1650	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
ILNFNBCO_00022	CDS	1293				hypothetical protein
ILNFNBCO_00023	CDS	1650	actP		COG4147	Cation/acetate symporter ActP
ILNFNBCO_00024	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
ILNFNBCO_00025	misc_RNA	72				naRNA4
ILNFNBCO_00026	CDS	1959	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
ILNFNBCO_00027	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
ILNFNBCO_00028	CDS	567	nrfB			Cytochrome c-type protein NrfB
ILNFNBCO_00029	CDS	672	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
ILNFNBCO_00030	CDS	957				hypothetical protein
ILNFNBCO_00031	CDS	1623	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
ILNFNBCO_00032	CDS	384	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
ILNFNBCO_00033	CDS	597	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
ILNFNBCO_00034	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
ILNFNBCO_00035	CDS	690				hypothetical protein
ILNFNBCO_00036	CDS	1680	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
ILNFNBCO_00037	misc_RNA	55				SECIS_2
ILNFNBCO_00038	CDS	420	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
ILNFNBCO_00039	CDS	1467	cusC_1		COG1538	Cation efflux system protein CusC
ILNFNBCO_00040	CDS	2052	mdtO		COG1289	Multidrug resistance protein MdtO
ILNFNBCO_00041	CDS	1032	mdtN		COG1566	Multidrug resistance protein MdtN
ILNFNBCO_00042	CDS	276				hypothetical protein
ILNFNBCO_00043	CDS	1986	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
ILNFNBCO_00044	CDS	708	ompR_1			Transcriptional regulatory protein OmpR
ILNFNBCO_00045	CDS	1002	RBKS	2.7.1.15		Ribokinase
ILNFNBCO_00046	CDS	861	fbaA_1	4.1.2.13	COG0191	putative fructose-bisphosphate aldolase
ILNFNBCO_00047	CDS	684				hypothetical protein
ILNFNBCO_00048	CDS	942	rbsB_1		COG1879	Ribose import binding protein RbsB
ILNFNBCO_00049	CDS	975	rbsC_1		COG1172	Ribose import permease protein RbsC
ILNFNBCO_00050	CDS	480	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
ILNFNBCO_00051	CDS	1020	araG_1	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
ILNFNBCO_00052	CDS	2280	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
ILNFNBCO_00053	CDS	330				hypothetical protein
ILNFNBCO_00054	CDS	759	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
ILNFNBCO_00055	CDS	426	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
ILNFNBCO_00056	CDS	558	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
ILNFNBCO_00057	CDS	1137	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
ILNFNBCO_00058	CDS	681	phnL	2.7.8.37	COG4778	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
ILNFNBCO_00059	CDS	759	phnK		COG4107	Putative phosphonates utilization ATP-binding protein PhnK
